block,layer,shape (OxI),act_in_dtype,act_in_bits,act_in_bytes/token,weight_dtype,weight_bits,block_size,scale_dtype,scale_bits,weight_bytes,scale_bytes,svd_bytes,sin_bytes,total_weight_bytes,act_out_dtype,act_out_bits,act_out_bytes/token,matmul_formula,matmul_factor,matmul_flops/token,scale_dequant_flops/token,svd_flops/token,hadamard_flops/token,act_quant_flops/token,total_flops/token,matmul_flops/image,scale_dequant_flops/image,svd_flops/image,hadamard_flops/image,act_quant_flops/image,total_flops/image,eff_bits/weight
8,attn2.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
8,attn2.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
8,attn2.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
8,attn2.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
8,ff.net.0.proj,4608x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,5308416,165888,368640,2304,5845248,FP16,16,9216.0,2 x 4608 x 1152 x 1.0,1.0,10616832,10616832,737280,592128,1152,22564224,43486543872,43486543872,3019898880,2425356288,4718592,92423061504,8.81
8,ff.net.2,1152x4608,NVFP4,4,2304.0,MXFP8,8,64,FP16,16,5308416,165888,368640,9216,5852160,FP16,16,2304.0,2 x 1152 x 4608 x 1.0,1.0,10616832,10616832,737280,2368512,4608,24344064,43486543872,43486543872,3019898880,9701425152,18874368,99713286144,8.82
9,attn1.to_q,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
9,attn1.to_k,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
9,attn1.to_v,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
9,attn1.to_out.0,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
9,attn2.to_q,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
9,attn2.to_k,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
9,attn2.to_v,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
9,attn2.to_out.0,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
9,ff.net.0.proj,4608x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,368640,2304,4518144,FP16,16,9216.0,2 x 4608 x 1152 x 0.75,0.75,7962624,5308416,737280,592128,1152,14601600,32614907904,21743271936,3019898880,2425356288,4718592,59808153600,6.81
9,ff.net.2,1152x4608,NVFP4,4,2304.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,368640,9216,4525056,FP16,16,2304.0,2 x 1152 x 4608 x 0.75,0.75,7962624,5308416,737280,2368512,4608,16381440,32614907904,21743271936,3019898880,9701425152,18874368,67098378240,6.82
10,attn1.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
10,attn1.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
10,attn1.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
10,attn1.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
10,attn2.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
10,attn2.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
10,attn2.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
10,attn2.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
10,ff.net.0.proj,4608x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,5308416,165888,368640,2304,5845248,FP16,16,9216.0,2 x 4608 x 1152 x 1.0,1.0,10616832,10616832,737280,592128,1152,22564224,43486543872,43486543872,3019898880,2425356288,4718592,92423061504,8.81
10,ff.net.2,1152x4608,NVFP4,4,2304.0,MXFP8,8,64,FP16,16,5308416,165888,368640,9216,5852160,FP16,16,2304.0,2 x 1152 x 4608 x 1.0,1.0,10616832,10616832,737280,2368512,4608,24344064,43486543872,43486543872,3019898880,9701425152,18874368,99713286144,8.82
11,attn1.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
11,attn1.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
11,attn1.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
11,attn1.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
11,attn2.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
11,attn2.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
11,attn2.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
11,attn2.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
11,ff.net.0.proj,4608x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,5308416,165888,368640,2304,5845248,FP16,16,9216.0,2 x 4608 x 1152 x 1.0,1.0,10616832,10616832,737280,592128,1152,22564224,43486543872,43486543872,3019898880,2425356288,4718592,92423061504,8.81
11,ff.net.2,1152x4608,NVFP4,4,2304.0,MXFP8,8,64,FP16,16,5308416,165888,368640,9216,5852160,FP16,16,2304.0,2 x 1152 x 4608 x 1.0,1.0,10616832,10616832,737280,2368512,4608,24344064,43486543872,43486543872,3019898880,9701425152,18874368,99713286144,8.82
12,attn1.to_q,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
12,attn1.to_k,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
12,attn1.to_v,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
12,attn1.to_out.0,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
12,attn2.to_q,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
12,attn2.to_k,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
12,attn2.to_v,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
12,attn2.to_out.0,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
12,ff.net.0.proj,4608x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,368640,2304,4518144,FP16,16,9216.0,2 x 4608 x 1152 x 0.75,0.75,7962624,5308416,737280,592128,1152,14601600,32614907904,21743271936,3019898880,2425356288,4718592,59808153600,6.81
12,ff.net.2,1152x4608,NVFP4,4,2304.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,368640,9216,4525056,FP16,16,2304.0,2 x 1152 x 4608 x 0.75,0.75,7962624,5308416,737280,2368512,4608,16381440,32614907904,21743271936,3019898880,9701425152,18874368,67098378240,6.82
13,attn1.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
13,attn1.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
13,attn1.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
13,attn1.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
13,attn2.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
13,attn2.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
13,attn2.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
13,attn2.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
13,ff.net.0.proj,4608x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,5308416,165888,368640,2304,5845248,FP16,16,9216.0,2 x 4608 x 1152 x 1.0,1.0,10616832,10616832,737280,592128,1152,22564224,43486543872,43486543872,3019898880,2425356288,4718592,92423061504,8.81
13,ff.net.2,1152x4608,NVFP4,4,2304.0,MXFP8,8,64,FP16,16,5308416,165888,368640,9216,5852160,FP16,16,2304.0,2 x 1152 x 4608 x 1.0,1.0,10616832,10616832,737280,2368512,4608,24344064,43486543872,43486543872,3019898880,9701425152,18874368,99713286144,8.82
14,attn1.to_q,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
14,attn1.to_k,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
14,attn1.to_v,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
14,attn1.to_out.0,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
14,attn2.to_q,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
14,attn2.to_k,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
14,attn2.to_v,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
14,attn2.to_out.0,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
14,ff.net.0.proj,4608x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,368640,2304,4518144,FP16,16,9216.0,2 x 4608 x 1152 x 0.75,0.75,7962624,5308416,737280,592128,1152,14601600,32614907904,21743271936,3019898880,2425356288,4718592,59808153600,6.81
14,ff.net.2,1152x4608,NVFP4,4,2304.0,MXFP6_E2M3,6,32,E8M0,8,3981312,165888,368640,9216,4525056,FP16,16,2304.0,2 x 1152 x 4608 x 0.75,0.75,7962624,5308416,737280,2368512,4608,16381440,32614907904,21743271936,3019898880,9701425152,18874368,67098378240,6.82
15,attn1.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
15,attn1.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
15,attn1.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
15,attn1.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
15,attn2.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
15,attn2.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
15,attn2.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
15,attn2.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
15,ff.net.0.proj,4608x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,5308416,165888,368640,2304,5845248,FP16,16,9216.0,2 x 4608 x 1152 x 1.0,1.0,10616832,10616832,737280,592128,1152,22564224,43486543872,43486543872,3019898880,2425356288,4718592,92423061504,8.81
15,ff.net.2,1152x4608,NVFP4,4,2304.0,MXFP8,8,64,FP16,16,5308416,165888,368640,9216,5852160,FP16,16,2304.0,2 x 1152 x 4608 x 1.0,1.0,10616832,10616832,737280,2368512,4608,24344064,43486543872,43486543872,3019898880,9701425152,18874368,99713286144,8.82
16,attn1.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
16,attn1.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
16,attn1.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
16,attn1.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
16,attn2.to_q,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
16,attn2.to_k,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
16,attn2.to_v,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
16,attn2.to_out.0,1152x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,1327104,41472,147456,2304,1518336,FP16,16,2304.0,2 x 1152 x 1152 x 1.0,1.0,2654208,2654208,294912,592128,1152,6196608,10871635968,10871635968,1207959552,2425356288,4718592,25381306368,9.15
16,ff.net.0.proj,4608x1152,NVFP4,4,576.0,MXFP8,8,64,FP16,16,5308416,165888,368640,2304,5845248,FP16,16,9216.0,2 x 4608 x 1152 x 1.0,1.0,10616832,10616832,737280,592128,1152,22564224,43486543872,43486543872,3019898880,2425356288,4718592,92423061504,8.81
16,ff.net.2,1152x4608,NVFP4,4,2304.0,MXFP8,8,64,FP16,16,5308416,165888,368640,9216,5852160,FP16,16,2304.0,2 x 1152 x 4608 x 1.0,1.0,10616832,10616832,737280,2368512,4608,24344064,43486543872,43486543872,3019898880,9701425152,18874368,99713286144,8.82
17,attn1.to_q,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
17,attn1.to_k,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
17,attn1.to_v,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
17,attn1.to_out.0,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
17,attn2.to_q,1152x1152,NVFP4,4,576.0,MXFP6_E2M3,6,32,E8M0,8,995328,41472,147456,2304,1186560,FP16,16,2304.0,2 x 1152 x 1152 x 0.75,0.75,1990656,1327104,294912,592128,1152,4205952,8153726976,5435817984,1207959552,2425356288,4718592,17227579392,7.15
